id_propuesta,inicio_vigencia,fin_vigencia,valor_prima_uf,metodo_pago,vehiculo,observacion
1227916,2025-07-02,2026-07-02,17.28,ONECLICK,"{""marca"": ""DONGFENG/DFM"", ""modelo"": ""AEOLUS GS CROSS""}",renueva
1227901,2025-07-02,2026-07-02,20.27,ONECLICK,"{""marca"": ""DONGFENG/DFM"", ""modelo"": ""AEOLUS GS CROSS""}",renueva
1227937,2025-07-02,2026-07-02,10.31,TX DIRECTA KLAP,"{""marca"": ""TOYOTA"", ""modelo"": ""RAV 4""}",renueva
814540,2025-07-02,2026-07-02,12.32,PAT,"{""marca"": ""MAZDA"", ""modelo"": ""CX 9""}",renueva
1228157,,,,,,no renueva
574175,2025-07-02,2026-07-02,20.23,PAT,"{""marca"": ""CHEVROLET"", ""modelo"": ""CAPTIVA""}",renueva
574332,2025-07-02,2026-07-02,25.69,PAC,"{""marca"": ""FORD"", ""modelo"": ""EXPLORER LIMIT""}",renueva
574149,2025-07-02,2026-07-02,8.08,PAC,"{""marca"": ""HYUNDAI"", ""modelo"": ""TUCSON""}",renueva
1226597,2025-07-02,2026-07-02,16.85,ONECLICK,"{""marca"": ""NISSAN"", ""modelo"": ""VERSA""}",renueva
1227226,,,,,,no renueva
1226966,,,,,,no renueva
1222851,2025-07-01,2026-07-01,19.73,TX DIRECTA KLAP,"{""marca"": ""KIA"", ""modelo"": ""SPORTAGE""}",renueva
953949,2025-07-01,2026-07-01,27.79,PAT,"{""marca"": ""CHERY"", ""modelo"": ""TIGGO2""}",renueva
1227927,2025-07-01,2026-07-01,11.96,ONECLICK,"{""marca"": ""SUZUKI"", ""modelo"": ""BALENO""}",renueva
1227871,2025-07-01,2026-07-01,9.64,ONECLICK,"{""marca"": ""CITROEN"", ""modelo"": ""C-Elysée""}",renueva
1227821,2025-07-01,2026-07-01,10.33,ONECLICK,"{""marca"": ""SUZUKI"", ""modelo"": ""DZIRE""}",renueva
1226925,2025-07-01,2026-07-01,14.21,TX DIRECTA KLAP,"{""marca"": ""SUZUKI"", ""modelo"": ""JIMNY""}",renueva
1226415,2025-07-01,2026-07-01,17.11,ONECLICK,"{""marca"": ""MAZDA"", ""modelo"": ""2 SEDAN""}",renueva
814036,2025-07-01,2026-07-01,11.44,TX DIRECTA KLAP,"{""marca"": ""CHANGAN"", ""modelo"": ""CX 70""}",renueva
